term,Mnl1_coef,Mnl2_coef
q1^2 q2,-182781869035.92056,0.0
q1 q2^2,132076787853.25793,0.0
q2^3,0.0,78681834593.14857
q1^3,15370658935.188513,0.0
q1 q2,-49329200.98210414,0.0
q1^2,42790891.99098798,0.0
q2^2,4066622.414092345,0.0
q2 qd1 qd2,3053977.0204495983,0.0
q1 qd1 qd2,-2434151.510419751,0.0
q2,0.0,-1983334.2677245617
q2 qd2^2,807041.1966413055,0.0
q1 qd2^2,-664176.2461192585,0.0
q2 qd1^2,92486.81665201733,0.0
q1,0.0,64009.163049793475
qd1^2,409.2833752883759,0.0
qd1 qd2,-242.41766366852093,0.0
qd2^2,24.195857377873534,0.0
