term,Mnl1_coef,Mnl2_coef
q1^2 q2,-87593458653.11275,0.0
q2^3,0.0,28840480136.73338
q1 q2^2,17958275396.616535,-21581448439.77537
q1^3,19815389000.95388,0.0
q1^2,75472141.06022488,0.0
q1 q2,-48926875.562789984,0.0
q2,0.0,-1946736.1913594007
q1 qd1 qd2,-1288966.8189824496,0.0
q2^2,1247295.6149984724,0.0
q2 qd1 qd2,1056146.8397266578,0.0
q1 qd2^2,-855209.3158984357,0.0
q2 qd2^2,381756.116693965,0.0
q1,3910.7361417377365,38020.62578864665
q1 qd1,18575.565957214272,0.0
qd1^2,768.094471884244,0.0
qd1 qd2,-226.92956521853802,0.0
qd2^2,-21.11928165620098,0.0
