term,Mnl1_coef,Mnl2_coef
q2^3,0.0,336937018364.2135
q1 q2^2,-106804667408.81783,-193207893084.70023
q1^2 q2,46418738196.05085,0.0
q1^3,-9456835507.549908,0.0
q1 q2,703003404.8536221,0.0
q1^2,-407537783.7875879,0.0
q2^2,-192786819.0607842,0.0
q2,0.0,-2008944.944359814
q2 qd1 qd2,-966263.1481537734,0.0
q2 qd2^2,-336014.5475128407,0.0
q1 qd1 qd2,242457.97732639674,0.0
q1 qd2^2,110836.86230105646,0.0
q2 qd1^2,73910.94511250807,0.0
q1 qd1,-61326.80977314107,0.0
q1,2761.524786692832,60924.60614240575
qd1 qd2,4043.6536347177394,0.0
qd1^2,-2896.2535208227346,0.0
qd2^2,339.54728010841484,0.0
