term,Mnl1_coef,Mnl2_coef
q2^3,-7102803628.517244,531680435955.25073
q1 q2^2,-4180294386.717768,-307062557220.33044
q1^2 q2,38294634462.421196,0.0
q1^3,4485178973.7456665,0.0
q2^2,22454778.176206596,0.0
q1 q2,-15697698.043420928,0.0
q1^2,-4551848.970915278,0.0
q2,-4449.998524214847,-2020423.770982717
q1 qd1 qd2,888517.0110280479,0.0
q1 qd2^2,344650.559257072,0.0
q1 qd1^2,339623.6033150542,0.0
q1,-2703.354855949928,72554.9198423596
q2 qd1^2,-29105.605268793857,0.0
q2 qd1 qd2,19666.06052949704,0.0
q1 qd1,-8881.021330169124,0.0
qd2^2,205.70623315110657,0.0
qd1^2,-40.13795751863496,0.0
qd2,5.749365581776929,0.0
qd1 qd2,-1.5373686221486782,0.0
qd1,1.228895138519583,0.0
