term,Mnl1_coef,Mnl2_coef
q2^3,9007109618.51748,20668880955.81495
q1 q2^2,-9824554897.637178,0.0
q1^3,-2600521264.8395185,0.0
q1^2 q2,-64082023.570917,0.0
q1^2,9141502.841782901,0.0
q1 q2,-8947402.180011805,0.0
q2^2,-4506803.303396505,0.0
q2,0.0,-1979023.2650487928
q2 qd1 qd2,287630.96218457865,0.0
q1 qd2^2,-284085.5675664445,0.0
q2 qd2^2,250346.0536110523,0.0
q1,0.0,47664.385750941794
q2 qd1^2,-15862.679273723677,0.0
q1 qd1 qd2,12975.90113332657,0.0
qd1^2,105.02825713731926,0.0
qd1 qd2,-41.42380846315855,0.0
qd2^2,-3.088528267902462,0.0
